time,dG,std,type,phase,direction,atoms
0.1,-6.46,0.052,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.2,-6.39,0.047,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.3,-6.38,0.039,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.4,-6.42,0.034,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.5,-6.44,0.029,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.6,-6.43,0.031,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.7,-6.44,0.026,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.8,-6.44,0.022,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.9,-6.45,0.023,complex_recharge_reverse_10,Complex Recharge,reverse,10
1.0,-6.45,0.02,complex_recharge_reverse_10,Complex Recharge,reverse,10
0.1,-6.47,0.054,complex_recharge_forward_10,Complex Recharge,forward,10
0.2,-6.46,0.045,complex_recharge_forward_10,Complex Recharge,forward,10
0.3,-6.45,0.04,complex_recharge_forward_10,Complex Recharge,forward,10
0.4,-6.44,0.033,complex_recharge_forward_10,Complex Recharge,forward,10
0.5,-6.44,0.029,complex_recharge_forward_10,Complex Recharge,forward,10
0.6,-6.44,0.03,complex_recharge_forward_10,Complex Recharge,forward,10
0.7,-6.46,0.027,complex_recharge_forward_10,Complex Recharge,forward,10
0.8,-6.46,0.023,complex_recharge_forward_10,Complex Recharge,forward,10
0.9,-6.41,0.024,complex_recharge_forward_10,Complex Recharge,forward,10
1.0,-6.45,0.021,complex_recharge_forward_10,Complex Recharge,forward,10
0.1,-9.92,0.151,complex_vdw_reverse_10,Complex VDW,reverse,10
0.2,-10.05,0.145,complex_vdw_reverse_10,Complex VDW,reverse,10
0.3,-10.17,0.137,complex_vdw_reverse_10,Complex VDW,reverse,10
0.4,-10.22,0.119,complex_vdw_reverse_10,Complex VDW,reverse,10
0.5,-9.87,0.113,complex_vdw_reverse_10,Complex VDW,reverse,10
0.6,-9.55,0.109,complex_vdw_reverse_10,Complex VDW,reverse,10
0.7,-10.42,0.112,complex_vdw_reverse_10,Complex VDW,reverse,10
0.8,-10.69,0.109,complex_vdw_reverse_10,Complex VDW,reverse,10
0.9,-10.61,0.103,complex_vdw_reverse_10,Complex VDW,reverse,10
1.0,-10.6,0.102,complex_vdw_reverse_10,Complex VDW,reverse,10
0.1,-9.71,0.149,complex_vdw_forward_10,Complex VDW,forward,10
0.2,-8.82,0.141,complex_vdw_forward_10,Complex VDW,forward,10
0.3,-11.39,0.138,complex_vdw_forward_10,Complex VDW,forward,10
0.4,-10.95,0.125,complex_vdw_forward_10,Complex VDW,forward,10
0.5,-11.12,0.118,complex_vdw_forward_10,Complex VDW,forward,10
0.6,-10.82,0.108,complex_vdw_forward_10,Complex VDW,forward,10
